cafe_id,building,cafe,food_item,ingredients
01,800 East Middlefield Road (B1),Opportunities Food Hall,Sushi,"Rice, Nori, Fish, Soy Sauce, Wasabi"
01,800 East Middlefield Road (B1),Opportunities Food Hall,Tacos,"Tortilla, Meat, Cheese, Lettuce, Salsa"
01,800 East Middlefield Road (B1),Opportunities Food Hall,Pasta,"Pasta, Tomato Sauce, Cheese, Basil, Olive Oil"
01,800 East Middlefield Road (B1),Opportunities Food Hall,Curry,"Chicken, Curry Powder, Coconut Milk, Vegetables, Rice"
01,800 East Middlefield Road (B1),Opportunities Food Hall,Falafel,"Chickpeas, Garlic, Onion, Parsley, Spices"
02,800 East Middlefield Road (B1),Aurora Quick Eats,Sushi,"Rice, Nori, Fish, Soy Sauce, Wasabi"
02,800 East Middlefield Road (B1),Aurora Quick Eats,Tacos,"Tortilla, Meat, Cheese, Lettuce, Salsa"
02,800 East Middlefield Road (B1),Aurora Quick Eats,Pasta,"Pasta, Tomato Sauce, Cheese, Basil, Olive Oil"
02,800 East Middlefield Road (B1),Aurora Quick Eats,Curry,"Chicken, Curry Powder, Coconut Milk, Vegetables, Rice"
02,800 East Middlefield Road (B1),Aurora Quick Eats,Falafel,"Chickpeas, Garlic, Onion, Parsley, Spices"
03,800 East Middlefield Road (B1),Possibilities Food Hall,Sushi,"Rice, Nori, Fish, Soy Sauce, Wasabi"
03,800 East Middlefield Road (B1),Possibilities Food Hall,Tacos,"Tortilla, Meat, Cheese, Lettuce, Salsa"
03,800 East Middlefield Road (B1),Possibilities Food Hall,Pasta,"Pasta, Tomato Sauce, Cheese, Basil, Olive Oil"
03,800 East Middlefield Road (B1),Possibilities Food Hall,Curry,"Chicken, Curry Powder, Coconut Milk, Vegetables, Rice"
03,800 East Middlefield Road (B1),Possibilities Food Hall,Falafel,"Chickpeas, Garlic, Onion, Parsley, Spices"
04,770 East Middlefield Road (B3),Mezzo Cafe,Sushi,"Rice, Nori, Fish, Soy Sauce, Wasabi"
04,770 East Middlefield Road (B3),Mezzo Cafe,Tacos,"Tortilla, Meat, Cheese, Lettuce, Salsa"
04,770 East Middlefield Road (B3),Mezzo Cafe,Pasta,"Pasta, Tomato Sauce, Cheese, Basil, Olive Oil"
04,770 East Middlefield Road (B3),Mezzo Cafe,Curry,"Chicken, Curry Powder, Coconut Milk, Vegetables, Rice"
04,770 East Middlefield Road (B3),Mezzo Cafe,Falafel,"Chickpeas, Garlic, Onion, Parsley, Spices"
05,950 West Maude Avenue (Building 5),Discovery Cafe,Sushi,"Rice, Nori, Fish, Soy Sauce, Wasabi"
05,950 West Maude Avenue (Building 5),Discovery Cafe,Tacos,"Tortilla, Meat, Cheese, Lettuce, Salsa"
05,950 West Maude Avenue (Building 5),Discovery Cafe,Pasta,"Pasta, Tomato Sauce, Cheese, Basil, Olive Oil"
05,950 West Maude Avenue (Building 5),Discovery Cafe,Curry,"Chicken, Curry Powder, Coconut Milk, Vegetables, Rice"
05,950 West Maude Avenue (Building 5),Discovery Cafe,Falafel,"Chickpeas, Garlic, Onion, Parsley, Spices"
06,1000 West Maude Avenue (Building 7),Redwood Coffee Co.,Sushi,"Rice, Nori, Fish, Soy Sauce, Wasabi"
06,1000 West Maude Avenue (Building 7),Redwood Coffee Co.,Tacos,"Tortilla, Meat, Cheese, Lettuce, Salsa"
06,1000 West Maude Avenue (Building 7),Redwood Coffee Co.,Pasta,"Pasta, Tomato Sauce, Cheese, Basil, Olive Oil"
06,1000 West Maude Avenue (Building 7),Redwood Coffee Co.,Curry,"Chicken, Curry Powder, Coconut Milk, Vegetables, Rice"
06,1000 West Maude Avenue (Building 7),Redwood Coffee Co.,Falafel,"Chickpeas, Garlic, Onion, Parsley, Spices"
07,650 East Middlefield Road (Building 2),eBar Quick Eats,Sushi,"Rice, Nori, Fish, Soy Sauce, Wasabi"
07,650 East Middlefield Road (Building 2),eBar Quick Eats,Tacos,"Tortilla, Meat, Cheese, Lettuce, Salsa"
07,650 East Middlefield Road (Building 2),eBar Quick Eats,Pasta,"Pasta, Tomato Sauce, Cheese, Basil, Olive Oil"
07,650 East Middlefield Road (Building 2),eBar Quick Eats,Curry,"Chicken, Curry Powder, Coconut Milk, Vegetables, Rice"
07,650 East Middlefield Road (Building 2),eBar Quick Eats,Falafel,"Chickpeas, Garlic, Onion, Parsley, Spices"
08,575 North Pastoria Avenue,East Campus Oasis,Sushi,"Rice, Nori, Fish, Soy Sauce, Wasabi"
08,575 North Pastoria Avenue,East Campus Oasis,Tacos,"Tortilla, Meat, Cheese, Lettuce, Salsa"
08,575 North Pastoria Avenue,East Campus Oasis,Pasta,"Pasta, Tomato Sauce, Cheese, Basil, Olive Oil"
08,575 North Pastoria Avenue,East Campus Oasis,Curry,"Chicken, Curry Powder, Coconut Milk, Vegetables, Rice"
08,575 North Pastoria Avenue,East Campus Oasis,Falafel,"Chickpeas, Garlic, Onion, Parsley, Spices"
